_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NO_SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
4501,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,19,NO,"Ground Level Garage , Surface Parking",YES,KACH INVESTMENT CORP,PRIVATE,4155283,NO,YES,NO,10  KINGS POINT DR ,YES,UNAVAILABLE,3,DOUBLE PANE,1958,2017
4502,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,2,2,2,14,246,YES,Surface Parking,YES,TCH,TCHC,4156232,NO,NO,NO,101  HUMBER BLVD ,YES,PAID,5,DOUBLE PANE,1969,2017
4503,NONE,Indoor exercise room,YES,YES,5 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,NO,YES,YES,1,4,2,13,149,NO,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,,PRIVATE,4153814,NO,YES,NO,368  EGLINTON AVE E,YES,PAID,15,DOUBLE PANE,1969,2017
4504,NONE,Outdoor pool,YES,YES,0 indoor parking spots and 30 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,NO,YES,YES,2,3,2,13,228,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4153822,NO,YES,NO,200  ROEHAMPTON AVE ,YES,FREE,12,SINGLE PANE,1964,2017
4505,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,1,2,7,104,NO,"Underground Garage , Surface Parking",YES,MEDALLION CORPORATION,PRIVATE,4155669,NO,YES,NO,38  CARLUKE CRES ,YES,BOTH,15,DOUBLE PANE,1964,2017
4506,NONE,"Indoor pool , Child play area",YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,2,2,7,101,YES,"Underground Garage , Surface Parking",YES,PINEDALE PROPERTIES LTD,PRIVATE,4155671,NO,YES,NO,16  CARLUKE CRES ,YES,FREE,15,DOUBLE PANE,1962,2017
4507,INDIVIDUAL UNITS,,NO,NO,Not Available,YES,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,15,NO,,YES,ZERIN DEVELOPMENT CORPORATION ,SOCIAL HOUSING,4153343,NO,YES,NO,1435  BATHURST ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1916,2017
4508,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,18,1,4,50,NO,Underground Garage,YES,,PRIVATE,4153845,NO,YES,NO,65  KEEWATIN AVE ,NO,UNAVAILABLE,15,DOUBLE PANE,1958,2017
4509,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,1,4,28,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4153866,NO,YES,NO,2  DU MAURIER BLVD ,YES,UNAVAILABLE,15,DOUBLE PANE,1941,2017
4510,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,12,180,NO,"Underground Garage , Garage accessible thru buildg",NO,,PRIVATE,4153876,NO,YES,NO,70  DELISLE AVE ,YES,FREE,12,DOUBLE PANE,1964,2017
4511,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,34,YES,"Ground Level Garage , Surface Parking",NO,JENNIC INVESTMENTS INC.,PRIVATE,4154347,NO,YES,NO,2440  KEELE ST ,NO,UNAVAILABLE,5,DOUBLE PANE,1958,2017
4512,NONE,,NO,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,26,0,3,26,NO,Surface Parking,NO,,PRIVATE,4154372,NO,YES,NO,6  HARTHAM PL ,NO,UNAVAILABLE,6,DOUBLE PANE,1958,2017
4513,NONE,Indoor exercise room,YES,NO,50 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,NO,NO,NO,YES,YES,0,1,2,18,138,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,M&R PROPERTY MANAGEMENT,PRIVATE,4154742,NO,YES,NO,745  YORK MILLS RD ,YES,FREE,15,SINGLE PANE,1972,2017
4514,NONE,"Indoor pool , Sauna",YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,3,17,284,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,NOVI PROPERTIES,PRIVATE,4154769,NO,YES,NO,200  GATEWAY BLVD ,YES,FREE,16,DOUBLE PANE,1966,2017
4515,NONE,Child play area,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,NO,0,0,1,3,64,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4154770,NO,YES,NO,7-11  ROCHEFORT DR ,YES,FREE,15,DOUBLE PANE,1960,2017
4516,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,5,3,13,128,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155304,NO,NO,NO,49  MABELLE AVE ,YES,BOTH,3,DOUBLE PANE,1979,2017
4517,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,88,4,2,12,88,YES,"Underground Garage , Ground Level Garage , Surface Parking",YES,ROCK RIDGE INVESTMENTS ,PRIVATE,4155692,NO,YES,NO,1875  MARTIN GROVE RD ,YES,FREE,1,DOUBLE PANE,1971,2017
4518,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,14,162,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,COMPTEN MANAGEMENT INC.,PRIVATE,4156296,NO,YES,NO,33  HOLLY ST ,YES,PAID,12,DOUBLE PANE,1963,2017
4519,NONE,,NO,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,10,59,NO,"Underground Garage , Surface Parking",NO,RANEE MANAGEMENT,PRIVATE,4153375,NO,YES,NO,268  POPLAR PLAINS RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1959,2017
4520,NONE,,NO,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,1,1,0,3,17,YES,,NO,TCH,TCHC,4153404,NO,NO,NO,11  SULLIVAN ST ,YES,BOTH,10,DOUBLE PANE,1923,2017
4521,INDIVIDUAL UNITS,Indoor exercise room,YES,YES,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,60,79,2,14,60,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,KENAIR APARTMENTS LIMITED,PRIVATE,4153883,NO,YES,NO,561  AVENUE RD ,NO,FREE,12,DOUBLE PANE,1957,2017
4522,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,4,49,YES,"Underground Garage , Garage accessible thru buildg",YES,MEDALLION CORPORATION,PRIVATE,4153890,NO,YES,NO,276  ST CLAIR AVE W,YES,UNAVAILABLE,12,DOUBLE PANE,1959,2017
4523,NONE,,YES,NO,0 indoor parking spots and 25 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,5,56,YES,"Underground Garage , Garage accessible thru buildg",YES,CROMWELL MANAGEMENT INC.,PRIVATE,4153892,NO,NO,NO,1545  BATHURST ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1965,2017
4524,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,YES,NO,NO,0,0,0,4,10,NO,Ground Level Garage,YES,,PRIVATE,4153903,NO,YES,NO,316  LONSDALE RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1923,2017
4525,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0,0,1,11,60,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153913,NO,YES,NO,5  MALLORY GDNS ,YES,UNAVAILABLE,12,DOUBLE PANE,1982,2017
4526,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,15,,,,,PRIVATE,4153919,,,,7  WALMSLEY BLVD ,,,12,DOUBLE PANE,1928,
4527,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,20,YES,,YES,,PRIVATE,4153922,NO,YES,NO,57  LAWTON BLVD ,NO,UNAVAILABLE,12,DOUBLE PANE,1929,2018
4528,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,4,55,NO,Surface Parking,YES,,PRIVATE,4154387,NO,YES,NO,1515  WILSON AVE ,NO,FREE,6,DOUBLE PANE,1958,2017
4529,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,NO,NO,0,0,0,3,12,YES,Surface Parking,NO,VINCENZA PAOLELLA,PRIVATE,4154401,NO,YES,NO,2217  JANE ST ,NO,FREE,6,DOUBLE PANE,1950,2017
4530,NONE,Child play area,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,3,15,229,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154407,NO,YES,NO,1154  WILSON AVE ,YES,FREE,6,DOUBLE PANE,1970,2017
4531,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,NO,YES,YES,0,0,2,11,118,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154410,NO,NO,NO,1130  WILSON AVE ,YES,FREE,6,DOUBLE PANE,1965,2017
4532,NONE,,YES,NO,2 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,8,8,0,3,11,NO,"Ground Level Garage , Surface Parking",NO,A M AND FAMILY HOLDINGS INC,PRIVATE,4154422,NO,YES,NO,2864  KEELE ST ,NO,UNAVAILABLE,6,DOUBLE PANE,1960,2017
4533,NONE,Indoor recreation room,YES,YES,10 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,25,12,2,4,70,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,SOCIAL HOUSING,4154772,NO,NO,NO,7  THE DONWAY  E,YES,FREE,16,DOUBLE PANE,1989,2017
4534,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,NO,NO,HOT WATER,YES,NO,NO,YES,NO,2,19,1,4,43,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154780,NO,YES,NO,1063  DON MILLS RD ,NO,FREE,16,DOUBLE PANE,1960,2017
4535,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,40,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154790,NO,YES,NO,2  THE DONWAY  E,YES,FREE,16,DOUBLE PANE,1950,2017
4536,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,,,0,3,12,YES,Surface Parking,YES,,PRIVATE,4154800,NO,YES,NO,874  LAWRENCE AVE E,NO,UNAVAILABLE,16,SINGLE PANE,1960,
4537,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,15,,,,,PRIVATE,4155313,,,,315  THE KINGSWAY  ,,,2,DOUBLE PANE,,
4538,NONE,,NO,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,20,0,4,25,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,FINE REALTY LTD,PRIVATE,4155319,NO,YES,NO,20  ANGLESEY BLVD ,NO,UNAVAILABLE,2,DOUBLE PANE,1953,2017
4539,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,26,NO,"Underground Garage , Surface Parking",YES,THE ELIA CORPORATION,PRIVATE,4155329,NO,YES,NO,7  ST STEVENS CRT ,NO,UNAVAILABLE,2,SINGLE PANE,1955,2018
4540,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,19,NO,Ground Level Garage,YES,LAW PROPERTY MANAGEMENT,PRIVATE,4155335,NO,YES,NO,7  ANGLESEY BLVD ,NO,UNAVAILABLE,2,DOUBLE PANE,1954,2017
4541,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,2,14,96,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,H&R PROPERTY MANAGEMENT,PRIVATE,4155338,NO,YES,NO,20  FONTENAY CRT ,YES,FREE,2,DOUBLE PANE,1966,2017
4542,INDIVIDUAL UNITS,"Indoor recreation room , Indoor exercise room",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,0,60,2,15,259,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4155346,NO,NO,NO,123  LA ROSE AVE ,NO,FREE,2,DOUBLE PANE,1982,2017
4543,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,120 indoor parking spots and 99 outdoor parking spots,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,YES,YES,NO,NO,2,4,3,14,291,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MEDALLION CORPORATION,PRIVATE,4155730,NO,YES,NO,45  LISGAR ST ,YES,FREE,9,DOUBLE PANE,2010,2017
4544,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,NO,YES,YES,77,1,2,8,77,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4155740,NO,YES,NO,4222  BATHURST ST ,YES,FREE,6,DOUBLE PANE,1967,2017
4545,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,93,7,1,4,93,NO,Surface Parking,YES,CANDO APARTMENTS LTD.,PRIVATE,4156325,NO,YES,NO,3328  WESTON RD ,YES,FREE,7,DOUBLE PANE,1960,2017
4546,NONE,,NO,NO,0 indoor parking spots and 8 outdoor parking spots,YES,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,NO,0,0,0,4,16,YES,Surface Parking,YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,4156597,NO,YES,NO,4  KINGSTON RD ,YES,UNAVAILABLE,19,DOUBLE PANE,1970,2017
4547,NONE,"Indoor recreation room , Indoor exercise room",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,5,0,2,10,84,YES,Surface Parking,YES,,TCHC,4156601,NO,NO,NO,1  OAK ST ,YES,FREE,13,DOUBLE PANE,2010,2017
4548,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,11,NO,"Carport , Surface Parking",YES,,PRIVATE,4156613,NO,YES,NO,8  WINGREEN CRT ,YES,FREE,16,DOUBLE PANE,1965,2017
4549,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,25 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,NO,YES,40,4,3,22,332,NO,"Underground Garage , Garage accessible thru buildg",YES,KG GROUP,PRIVATE,4156614,NO,YES,NO,105  HARRISON GARDEN BLVD ,YES,FREE,18,DOUBLE PANE,2010,2017
4550,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2,6,2,7,121,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4152924,NO,NO,NO,77  RANKIN CRES ,YES,BOTH,9,DOUBLE PANE,1992,2017
4551,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,115,16,2,9,115,NO,"Ground Level Garage , Surface Parking",YES,VILNIUS MANOR,SOCIAL HOUSING,4152927,NO,NO,NO,1700  BLOOR ST W,YES,FREE,4,DOUBLE PANE,1982,2017
4552,NONE,"Outdoor pool , Outdoor rec facilities",YES,YES,30 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1,0,3,16,221,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,BEAUX PROPERTIES MANAGEMENT,PRIVATE,4152929,NO,YES,NO,60  MOUNTVIEW AVE ,YES,PAID,4,DOUBLE PANE,1965,2017
4553,NONE,,YES,NO,Not Available,NO,Unknown,YES,NO,ELECTRIC,NO,NO,NO,YES,NO,0,8,0,3,10,YES,"Carport , Surface Parking",YES,,PRIVATE,4152943,NO,YES,NO,340  HIGH PARK AVE ,NO,UNAVAILABLE,4,DOUBLE PANE,1940,2017
4554,INDIVIDUAL UNITS,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,YES,YES,YES,0,0,0,3,60,YES,Ground Level Garage,NO,,SOCIAL HOUSING,4153425,NO,NO,NO,244  CHURCH ST ,YES,UNAVAILABLE,13,SINGLE PANE,1900,2017
4555,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,2,12,122,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,TIMBERCREEK COMMUNITIES,PRIVATE,4153926,NO,YES,NO,125  LAWTON BLVD ,YES,PAID,12,DOUBLE PANE,1962,2018
4556,NONE,,YES,NO,0 indoor parking spots and 25 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,9,37,YES,"Carport , Surface Parking",YES,AKELIUS CANADA LTD,PRIVATE,4153938,NO,YES,NO,240  ORIOLE PKWY ,YES,UNAVAILABLE,12,DOUBLE PANE,,2019
4557,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,13,1,4,32,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",YES,ELDEBRON HOLDINGS LIMITED,PRIVATE,4153941,NO,YES,NO,540  RUSSELL HILL RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1937,2017
4558,INDIVIDUAL UNITS,,NO,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,NO,0,0,1,5,65,NO,Surface Parking,YES,,PRIVATE,4153949,NO,YES,NO,4  LATIMER AVE ,YES,UNAVAILABLE,8,DOUBLE PANE,1953,2017
4559,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,2,10,0,3,11,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154423,NO,YES,NO,2856  KEELE ST ,NO,FREE,6,DOUBLE PANE,1969,2017
4560,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0,50,0,3,11,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154429,NO,YES,NO,2253  JANE ST ,NO,UNAVAILABLE,6,THERMAL,1965,2017
4561,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0,50,0,3,11,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154431,NO,YES,NO,2257  JANE ST ,NO,UNAVAILABLE,6,THERMAL,1965,2017
4562,NONE,Child play area,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,3,20,158,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,PSN PROPERTIES INC. ,PRIVATE,4154435,NO,YES,NO,2415  JANE ST ,YES,FREE,6,DOUBLE PANE,1968,2017
4563,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,40,NO,"Ground Level Garage , Surface Parking",YES,COGIR REAL ESTATE,PRIVATE,4154454,NO,YES,NO,20  SKIPTON CRT ,NO,UNAVAILABLE,6,SINGLE PANE,1958,2017
4564,INDIVIDUAL UNITS,Outdoor pool,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,YES,1,1,3,17,180,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,WESTDALE PROPERTIES,PRIVATE,4154828,NO,NO,NO,185  SHAUGHNESSY BLVD ,YES,PAID,17,THERMAL,1967,2017
4565,NONE,"Outdoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,3,6,19,128,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,VERTICA RESIDENT SERVICES,PRIVATE,4154839,NO,YES,NO,640  SHEPPARD AVE E,YES,FREE,17,DOUBLE PANE,1970,2017
4566,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,3,4,2,10,330,YES,Surface Parking,YES,,TCHC,4154850,NO,NO,NO,1420  VICTORIA PARK AVE ,YES,BOTH,16,SINGLE PANE,1977,2017
4567,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,,0,0,4,14,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4155352,NO,YES,NO,17  RIVERVIEW HTS ,NO,UNAVAILABLE,1,DOUBLE PANE,1953,2017
4568,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,60,0,1,5,60,NO,"Ground Level Garage , Surface Parking",YES,EQUITY BUILDERS ,PRIVATE,4155356,NO,YES,NO,34  DIXINGTON CRES ,NO,FREE,2,DOUBLE PANE,1970,2017
4569,NONE,Outdoor pool,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,10,111,NO,"Ground Level Garage , Carport , Surface Parking",YES,,PRIVATE,4155357,NO,NO,NO,38  DIXINGTON CRES ,YES,FREE,2,DOUBLE PANE,1963,2018
4570,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,2,1,6,55,NO,Surface Parking,YES,H&R PROPERTY MANAGEMENT,PRIVATE,4155360,NO,YES,NO,40  DIXINGTON CRES ,YES,FREE,2,DOUBLE PANE,1964,2017
4571,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,3,0,1,8,29,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,,PRIVATE,4155361,NO,YES,NO,51-67  WATERFORD DR ,YES,UNAVAILABLE,2,DOUBLE PANE,1962,2017
4572,NONE,,YES,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0,2,3,16,178,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,DIXON HOLDINGS,PRIVATE,4155366,NO,YES,NO,311  DIXON RD ,YES,PAID,2,SINGLE PANE,1968,2017
4573,NONE,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,3,23,3,16,225,NO,"Ground Level Garage , Surface Parking , Parking Deck",YES,PROMENADE GARDENS,PRIVATE,4155367,NO,NO,NO,301  DIXON RD ,YES,FREE,2,SINGLE PANE,1964,2017
4574,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,10,118,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,E. MANSON INVESTMENTS LIMITED,PRIVATE,4155375,NO,YES,NO,287  MARKLAND DR ,YES,FREE,2,SINGLE PANE,1965,2017
4575,NONE,Child play area,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,1,1,1,3,32,YES,"Ground Level Garage , Carport , Surface Parking",YES,,PRIVATE,4155379,NO,YES,NO,328  THE WEST MALL  ,YES,FREE,2,DOUBLE PANE,1968,2017
4576,NONE,Outdoor pool,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,5,45,NO,"Ground Level Garage , Surface Parking",YES,IMPERRA GENERAL MANAGMENT,PRIVATE,4155383,NO,YES,NO,329  THE WEST MALL  ,YES,FREE,2,DOUBLE PANE,1970,2017
4577,CENTRAL AIR,Indoor recreation room,YES,YES,45 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,232,8,3,14,232,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4155768,NO,NO,NO,121  PARKWAY FOREST DR ,YES,FREE,17,DOUBLE PANE,2006,2017
4578,NONE,Indoor exercise room,YES,NO,0 indoor parking spots and 14 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,2,10,133,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155770,NO,YES,NO,2313  LAKE SHORE BLVD W,YES,BOTH,3,DOUBLE PANE,1960,2017
